GP,Bahrain,Saudi Arabia,Austrailia,Japan,China,Miami,Emilia Romanga,Monaco,Canada,Spain,Austria,Britian,Hungary,Belgium,Netherlands,Italy,Azerbaijan,Singapore,USA,Mexico,Brazil,Las Vegas,Qatar,Abu Dhabi
circuit,Bahrain International Circuit,Jeddah Corniche Circuit,Albert Park,Suzuka,Shanghai International Circuit,Miami International Autodromo,Imola,Monaco,Circuit Gilles Villeneuve,Catalunya,Red Bull Ring,Silverstone,Hungaroring,Spa Francorchamps,Zandvoort,Monza,Baku City Circuit,Marina Bay Street Circuit,COTA,Autodromo Hermanos Rodriguez,Interlagos,Las Vegas Strip Circuit,Lusail,Yas Marina
latitude,26.0325,21.631944,-37.849722,34.843056,31.338889,25.958056,44.341111,43.734722,45.500556,41.57,47.219722,52.078611,47.582222,50.437222,52.388819,45.620556,40.3725,1.291531,30.132778,19.406111,-23.701111,36.081944,25.49,24.467222
longitude,50.510556,39.104444,144.968333,136.540556,121.219722,-80.238889,11.713333,7.420556,-73.5225,2.261111,14.764722,-1.016944,19.251111,5.971389,4.540922,9.289444,49.853333,103.86385,-97.641111,-99.0925,-46.697222,-115.124722,51.454167,54.603056
temp week 1 (january),20,28,26,9,8,24,7,13,-4,14,3,8,2,6,6,7,7,30,16,21,28,14,22,24
temp week 2,20.5,28.25,25.75,9.25,8.5,24.25,7.25,13,-3.5,14,3.5,8.25,2.75,6.25,6,7.5,7.25,30.25,16.75,21.5,28,14.75,22.5,24.5
temp week 3,21,28.5,25.5,9.5,9,24.5,7.5,13,-3,14,4,8.5,3.5,6.5,6,8,7.5,30.5,17.5,22,28,15.5,23,25
temp week 4,21.5,28.75,25.25,9.75,9.5,24.75,7.75,13,-2.5,14,4.5,8.75,4.25,6.75,6,8.5,7.75,30.75,18.25,22.5,28,16.25,23.5,25.5
temp week 5 (february),22,29,25,10,10,25,8,13,-2,14,5,9,5,7,6,9,8,31,19,23,28,17,24,26
temp week 6,22.75,29.5,24.5,11,11,25.5,9,13.5,-0.75,14.5,6.25,9.5,6.25,7.75,6.75,10.25,8.75,31.25,19.75,23.5,28,18,24.75,26.75
temp week 7,23.5,30,24,12,12,26,10,14,0.5,15,7.5,10,7.5,8.5,7.5,11.5,9.5,31.5,20.5,24,28,19,25.5,27.5
temp week 8,24.25,30.5,23.5,13,13,26.5,11,14.5,1.75,15.5,8.75,10.5,8.75,9.25,8.25,12.75,10.25,31.75,21.25,24.5,28,20,26.25,28.25
temp week 9 (march),25,31,23,14,14,27,12,15,3,16,10,11,10,10,9,14,11,32,22,25,28,21,27,29
temp week 10,26,31.6,22.4,15,15.2,27.2,12.8,15.6,4.6,16.4,11.2,11.8,11.4,10.8,9.8,14.8,12,32,22.8,25.2,27.6,21.8,28.2,30
temp week 11,27,32.2,21.8,16,16.4,27.4,13.6,16.2,6.2,16.8,12.4,12.6,12.8,11.6,10.6,15.6,13,32,23.6,25.4,27.2,22.6,29.4,31
temp week 12,28,32.8,21.2,17,17.6,27.6,14.4,16.8,7.8,17.2,13.6,13.4,14.2,12.4,11.4,16.4,14,32,24.4,25.6,26.8,23.4,30.6,32
temp week 13,29,33.4,20.6,18,18.8,27.8,15.2,17.4,9.4,17.6,14.8,14.2,15.6,13.2,12.2,17.2,15,32,25.2,25.8,26.4,24.2,31.8,33
temp week 14 (april),30,34,20,19,20,28,16,18,11,18,16,15,17,14,13,18,16,32,26,26,26,25,33,34
temp week 15,31.25,34.75,19.25,20.25,21.25,28.5,17.25,18.75,13.25,18.75,17,15.75,18,15,14,19.25,17.75,32,27,26,25.25,26.5,34.5,35.25
temp week 16,32.5,35.5,18.5,21.5,22.5,29,18.5,19.5,15.5,19.5,18,16.5,19,16,15,20.5,19.5,32,28,26,24.5,28,36,36.5
temp week 17,33.75,36.25,17.75,22.75,23.75,29.5,19.75,20.25,17.75,20.25,19,17.25,20,17,16,21.75,21.25,32,29,26,23.75,29.5,37.5,37.75
temp week 18 (may),35,37,17,24,25,30,21,21,20,21,20,18,21,18,17,23,23,32,30,26,23,31,39,39
temp week 19,35.75,37.25,16.25,25,25.75,30.25,22,22,21,22,21,18.75,22,18.75,17.5,24,24.25,31.75,31,25.75,23,32.5,39.75,39.5
temp week 20,36.5,37.5,15.5,26,26.5,30.5,23,23,22,23,22,19.5,23,19.5,18,25,25.5,31.5,32,25.5,23,34,40.5,40
temp week 21,37.25,37.75,14.75,27,27.25,30.75,24,24,23,24,23,20.25,24,20.25,18.5,26,26.75,31.25,33,25.25,23,35.5,41.25,40.5
temp week 22 (june),38,38,14,28,28,31,25,25,24,25,24,21,25,21,19,27,28,31,34,25,23,37,42,41
temp week 23,38.2,38.2,14,28.6,28.8,31.2,25.6,25.6,24.6,25.6,24.4,21.4,25.4,21.4,19.4,27.6,28.6,31,34.2,24.6,23,37.6,42,41.2
temp week 24,38.4,38.4,14,29.2,29.6,31.4,26.2,26.2,25.2,26.2,24.8,21.8,25.8,21.8,19.8,28.2,29.2,31,34.4,24.2,23,38.2,42,41.4
temp week 25,38.6,38.6,14,29.8,30.4,31.6,26.8,26.8,25.8,26.8,25.2,22.2,26.2,22.2,20.2,28.8,29.8,31,34.6,23.8,23,38.8,42,41.6
temp week 26,38.8,38.8,14,30.4,31.2,31.8,27.4,27.4,26.4,27.4,25.6,22.6,26.6,22.6,20.6,29.4,30.4,31,34.8,23.4,23,39.4,42,41.8
temp week 27 (july),39,39,14,31,32,32,28,28,27,28,26,23,27,23,21,30,31,31,35,23,23,40,42,42
temp week 28,39,38.75,14.25,31.5,32.25,32,28,28,26.75,28.25,26,23,27,23,21,29.75,31,31,35.25,23,23.25,39.75,41.75,42.25
temp week 29,39,38.5,14.5,32,32.5,32,28,28,26.5,28.5,26,23,27,23,21,29.5,31,31,35.5,23,23.5,39.5,41.5,42.5
temp week 30,39,38.25,14.75,32.5,32.75,32,28,28,26.25,28.75,26,23,27,23,21,29.25,31,31,35.75,23,23.75,39.25,41.25,42.75
temp week 31 (august),39,38,15,33,33,32,28,28,26,29,26,23,27,23,21,29,31,31,36,23,24,39,41,43
temp week 32,38.5,37.75,15.5,32,31.75,31.75,27,27.25,22.5,28.25,24.5,22.25,25.75,22,20.25,27.75,29.75,31,35.25,23,24.25,37.75,40.5,42.25
temp week 33,38,37.5,16,31,30.5,31.5,26,26.5,19,27.5,23,21.5,24.5,21,19.5,26.5,28.5,31,34.5,23,24.5,36.5,40,41.5
temp week 34,37.5,37.25,16.5,30,29.25,31.25,25,25.75,15.5,26.75,21.5,20.75,23.25,20,18.75,25.25,27.25,31,33.75,23,24.75,35.25,39.5,40.75
temp week 35 (september),37,37,17,29,28,31,24,25,12,26,20,20,22,19,18,24,26,31,33,23,25,34,39,40
temp week 36,36.4,36.8,17.6,27.8,27,30.6,22.8,24.2,12.4,25.2,18.8,19,20.8,18.2,17.2,22.8,24.8,31,32,23,25.2,32.6,38.2,39.2
temp week 37,35.8,36.6,18.2,26.6,26,30.2,21.6,23.4,12.8,24.4,17.6,18,19.6,17.4,16.4,21.6,23.6,31,31,23,25.4,31.2,37.4,38.4
temp week 38,35.2,36.4,18.8,25.4,25,29.8,20.4,22.6,13.2,23.6,16.4,17,18.4,16.6,15.6,20.4,22.4,31,30,23,25.6,29.8,36.6,37.6
temp week 39,34.6,36.2,19.4,24.2,24,29.4,19.2,21.8,13.6,22.8,15.2,16,17.2,15.8,14.8,19.2,21.2,31,29,23,25.8,28.4,35.8,36.8
temp week 40 (october),34,36,20,23,23,29,18,21,14,22,14,15,16,15,14,18,20,31,28,23,26,27,35,36
temp week 41,32.5,35.25,20.5,21.5,21.5,28.5,16.5,20,12,20.75,12.5,14,14.25,13.75,13,16.5,18.5,31,26.25,22.75,26,25,33.5,34.75
temp week 42,31,34.5,21,20,20,28,15,19,10,19.5,11,13,12.5,12.5,12,15,17,31,24.5,22.5,26,23,32,33.5
temp week 43,29.5,33.75,21.5,18.5,18.5,27.5,13.5,18,8,18.25,9.5,12,10.75,11.25,11,13.5,15.5,31,22.75,22.25,26,21,30.5,32.25
temp week 44 (november),28,33,22,17,17,27,12,17,6,17,8,11,9,10,10,12,14,31,21,22,26,19,29,31
temp week 45,26.75,32.25,22.5,15.75,15.5,26.5,11,16.25,4.5,16.25,6.75,10.25,7.5,9,9.25,10.75,12.75,30.75,20,21.75,26.5,17.5,27.75,29.75
temp week 46,25.5,31.5,23,14.5,14,26,10,15.5,3,15.5,5.5,9.5,6,8,8.5,9.5,11.5,30.5,19,21.5,27,16,26.5,28.5
temp week 47,24.25,30.75,23.5,13.25,12.5,25.5,9,14.75,1.5,14.75,4.25,8.75,4.5,7,7.75,8.25,10.25,30.25,18,21.25,27.5,14.5,25.25,27.25
temp week 48 (december),23,30,24,12,11,25,8,14,0,14,3,8,3,6,7,7,9,30,17,21,28,13,24,26
temp week 49,22.4,29.6,24.4,11.4,10.4,24.8,7.8,13.8,-0.8,14,3,8,2.8,6,6.8,7,8.6,30,16.8,21,28,13.2,23.6,25.6
temp week 50,21.8,29.2,24.8,10.8,9.8,24.6,7.6,13.6,-1.6,14,3,8,2.6,6,6.6,7,8.2,30,16.6,21,28,13.4,23.2,25.2
temp week 51,21.2,28.8,25.2,10.2,9.2,24.4,7.4,13.4,-2.4,14,3,8,2.4,6,6.4,7,7.8,30,16.4,21,28,13.6,22.8,24.8
temp week 52,20.6,28.4,25.6,9.6,8.6,24.2,7.2,13.2,-3.2,14,3,8,2.2,6,6.2,7,7.4,30,16.2,21,28,13.8,22.4,24.4
